推: 1,噓: 0,分數: 1,作者: leoamyp4 (leoamyp4),標題: Re: [問卦] 克倫威爾走錯哪步,時間: Sun Jul  3 03:07:18 2022
推: 19,噓: 2,分數: 17,作者: remora (remora),標題: Re: [新聞] 斯里蘭卡是中國「債務陷阱」的受害者？,時間: Sun Jul  3 10:30:58 2022
推: 1,噓: 2,分數: -1,作者: devidevi (凱特),標題: Re: [問卦] 哇 有人保證每天要完工104戶社會住宅啦  ,時間: Sat Jul  2 23:13:21 2022
推: 5,噓: 0,分數: 5,作者: Hanedas (),標題: [問卦] 三金裡面是不是只剩金曲會有中國人？,時間: Sat Jul  2 23:45:40 2022
推: 6,噓: 1,分數: 5,作者: ha3810996 (微八嘎囧),標題: [新聞] 蜜蜂壞壞房子蓋在這 網友笑噴「偉人變成,時間: Sat Jul  2 23:47:18 2022
推: 10,噓: 3,分數: 7,作者: kerkerson (高處不勝寒),標題: [問卦] 滴妹會羨慕ELVA蕭亞軒嗎???,時間: Sat Jul  2 23:23:01 2022
推: 2,噓: 0,分數: 2,作者: johanLarson (Rent),標題: Re: [問卦] 青創貸款倒閉潮？,時間: Sun Jul  3 00:15:55 2022
推: 2,噓: 2,分數: 0,作者: bbsids (迷上這樣的味道),標題: Re: [問卦] 各位有聽完任何一張去年發的專輯嗎,時間: Sun Jul  3 11:09:01 2022
推: 3,噓: 1,分數: 2,作者: amertazer (唉~~沒他色),標題: Re: [問卦] 中國人為什麼要自己蓋艾菲爾鐵塔?,時間: Sat Jul  2 23:49:59 2022
推: 486,噓: 96,分數: 390,作者: monine (),標題: [新聞] 不會用藍芽！師大教授千字文控店員態度差,時間: Sun Jul  3 08:31:06 2022
推: 0,噓: 0,分數: 0,作者: Kashionz (空阿哭啊Peko),標題: Re: [問卦] 推特上的妹子抖內真的能約嗎,時間: Sun Jul  3 03:43:54 2022
推: 5,噓: 0,分數: 5,作者: lienchi (...),標題: [問卦] 為什麼有人怕手機基地台大過陽光？,時間: Sun Jul  3 09:50:32 2022
推: 54,噓: 5,分數: 49,作者: leocean9816 (阿光),標題: [新聞] 陸三大航空訂購292架空巴 波音：令人失望,時間: Sun Jul  3 00:27:48 2022
推: 0,噓: 0,分數: 0,作者: o523874 (就買一個感覺),標題: Re: [問卦] 猴痘跟他的產地會是健身房嗎？,時間: Sun Jul  3 11:22:13 2022
推: 7,噓: 3,分數: 4,作者: TomFord5566 (湯福56),標題: [問卦] 歐洲人會羨慕美國那麼強嗎？,時間: Sun Jul  3 11:13:17 2022
推: 5,噓: 0,分數: 5,作者: rikey0214 (0.0),標題: [問卦] 手機扔在床上睡著會怎樣？,時間: Sun Jul  3 11:03:35 2022
推: 33,噓: 2,分數: 31,作者: HDSM (Love Not Change  O'_'O),標題: [問卦] 看過『機械女神』的幾歲了阿？,時間: Sun Jul  3 00:59:06 2022
推: 6,噓: 2,分數: 4,作者: whiteadam (blue eyes blue),標題: [問卦] 溫嵐跟elva誰有整形過??,時間: Sun Jul  3 01:55:13 2022
推: 1,噓: 1,分數: 0,作者: tok892xt7 (優質廢文),標題: [問卦] 我聽聞 妳始終一個人？,時間: Sat Jul  2 23:08:53 2022
推: 1,噓: 0,分數: 1,作者: HDSM (Love Not Change  O'_'O),標題: [問卦] 今天 又是雨時多雲偶陣晴,時間: Sun Jul  3 00:50:42 2022
推: 10,噓: 3,分數: 7,作者: Lime5566 (萊姆56),標題: [問卦] 以前人會把音樂放到光碟裡面來聽?,時間: Sat Jul  2 23:25:03 2022
推: 1,噓: 0,分數: 1,作者: sam810626 (Sam),標題: [問卦] 大家有沒有要報考今年的國營聯招啊?,時間: Sat Jul  2 23:09:08 2022
推: 7,噓: 3,分數: 4,作者: fcugeo (fcugeo1746),標題: [問卦] 今天金曲獎得獎的專輯你買了幾張？,時間: Sun Jul  3 00:17:18 2022
推: 0,噓: 4,分數: -4,作者: emperor (派蘿派蘿得第一),標題: [問卦] 喜歡的女生變女王會不會後悔沒把她?,時間: Sat Jul  2 23:52:03 2022
推: 7,噓: 0,分數: 7,作者: jerome2010 (636237),標題: [問卦] 有什麼辦法可以休假唸書準備國考,時間: Sun Jul  3 08:24:56 2022
推: 11,噓: 2,分數: 9,作者: sodistrues (true),標題: [問卦] 日本男優小栗旬為什麼能紅那麼久？,時間: Sun Jul  3 08:22:22 2022
推: 242,噓: 13,分數: 229,作者: neo19 ((づ′・ω・）づ),標題: [問卦] 蕭亞軒的鼻子怎摸了,時間: Sat Jul  2 23:17:33 2022
推: 7,噓: 0,分數: 7,作者: kuangjc5566 (匡匡56),標題: [問卦] 有沒有崔健 假行僧這首歌的八卦,時間: Sat Jul  2 23:58:40 2022
推: 4,噓: 0,分數: 4,作者: lienchi (...),標題: [問卦] 手機真的不能放口袋嗎,時間: Sun Jul  3 00:02:28 2022
推: 11,噓: 0,分數: 11,作者: jonjes (HONOKA),標題: [問卦] 怎麼久坐電影院的椅子,時間: Sun Jul  3 05:31:03 2022
推: 8,噓: 3,分數: 5,作者: fickleness (小舞揭),標題: [問卦] 我的NETFLIX現在 不能看，你的能看嗎？,時間: Sun Jul  3 09:47:21 2022
推: 2,噓: 2,分數: 0,作者: wuyiulin (龍破壞劍士巴斯達_客家人),標題: [問卦] 生活的價值總是來自於充滿挫折的經歷？,時間: Sun Jul  3 02:15:04 2022
推: 7,噓: 1,分數: 6,作者: AlainDelon (無心睡眠),標題: Re: [問卦] 金曲獎是不是小眾化了?,時間: Sun Jul  3 03:03:31 2022
推: 5,噓: 0,分數: 5,作者: gyGirl (妹),標題: Re: [新聞] 長髮辣妹打新冠疫苗狂掉髮！「電扇都不,時間: Sun Jul  3 09:58:58 2022
推: 2,噓: 0,分數: 2,作者: freddy60907 (happysexyday),標題: [問卦] 萬葉可莉 都幾,時間: Sat Jul  2 23:11:33 2022
推: 5,噓: 6,分數: -1,作者: x941u4vu86 (x94),標題: [問卦] 滴妹何時要回台灣？,時間: Sun Jul  3 09:48:21 2022
推: 3,噓: 0,分數: 3,作者: KevinLow (廢文漏),標題: [問卦] 灰,時間: Sat Jul  2 23:13:56 2022
推: 1,噓: 3,分數: -2,作者: tok892xt7 (優質廢文),標題: [問卦] 發現自己的歌單一堆抖音歌怎麼辦,時間: Sat Jul  2 23:46:57 2022
推: 2,噓: 2,分數: 0,作者: zzzz8931 (宅男),標題: [新聞] 「悲憤的七一」 港人在紐約時代廣場抗議,時間: Sun Jul  3 00:09:09 2022
推: 42,噓: 5,分數: 37,作者: sushi11 (偶像可以亂摸嗎peko),標題: [問卦] 對岸脫口秀明明不好笑，為什麼要假笑？,時間: Sun Jul  3 09:15:39 2022
推: 3,噓: 9,分數: -6,作者: todao (心裡有數),標題: Re: [問卦] 有沒有越南的喃文的八卦？,時間: Sun Jul  3 01:18:07 2022
